ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
BBAS3,"R$ 0,06150396",01/06/2023,12/06/2023,Dividendo,"0,14%"
IGTI11,"R$ 0,09150832",20/04/2023,15/06/2023,Dividendo,"0,47%"
PETR3,"R$ 0,05213075",27/04/2023,16/06/2023,Rend. Tributado,"0,21%"
PETR3,"R$ 0,87479856",27/04/2023,16/06/2023,Dividendo,"3,36%"
PETR4,"R$ 0,05213075",27/04/2023,16/06/2023,Rend. Tributado,"0,24%"
PETR4,"R$ 0,87479856",27/04/2023,16/06/2023,Dividendo,"3,76%"
MULT3,"R$ 0,24715441",24/06/2022,20/06/2023,JCP,"1,07%"
CPFE3,"R$ 0,54007449",28/04/2023,23/06/2023,Dividendo,"1,74%"
ASAI3,"R$ 0,05001854",27/04/2023,26/06/2023,Dividendo,"0,41%"
SBSP3,"R$ 1,27600000",12/05/2023,26/06/2023,JCP,"2,52%"
USIM5,"R$ 0,32876726",27/04/2023,27/06/2023,Dividendo,"4,84%"
BBAS3,"R$ 0,16931567",12/06/2023,30/06/2023,JCP,"0,35%"
CMIG4,"R$ 0,10714014",23/09/2022,30/06/2023,JCP,"0,91%"
CMIG4,"R$ 0,08020815",24/06/2022,30/06/2023,JCP,"0,75%"
CMIG4,"R$ 0,09057091",21/12/2022,30/06/2023,JCP,"0,83%"
CMIG4,"R$ 0,11713435",27/12/2022,30/06/2023,JCP,"1,07%"
CMIG4,"R$ 0,05653493",27/04/2023,30/06/2023,Dividendo,"0,46%"
CPLE6,"R$ 0,14011292",21/11/2022,30/06/2023,JCP,"1,61%"
BBDC3,"R$ 0,01724983",01/06/2023,03/07/2023,JCP,"0,13%"
BBDC4,"R$ 0,01897481",01/06/2023,03/07/2023,JCP,"0,12%"
ITSA4,"R$ 0,02352950",31/05/2023,03/07/2023,JCP,"0,27%"
ITUB4,"R$ 0,01765000",31/05/2023,03/07/2023,JCP,"0,07%"
VAMO3,"R$ 0,01729844",05/05/2023,05/07/2023,Dividendo,"0,15%"
BBDC3,"R$ 0,17899724",26/06/2023,06/07/2023,JCP,"1,22%"
BBDC4,"R$ 0,19689696",26/06/2023,06/07/2023,JCP,"1,19%"
B3SA3,"R$ 0,06161196",27/06/2023,07/07/2023,JCP,"0,44%"
B3SA3,"R$ 0,05374176",27/06/2023,07/07/2023,Dividendo,"0,39%"
TIMS3,"R$ 0,11979550",22/06/2023,12/07/2023,JCP,"0,82%"
VIVT3,"R$ 0,24876909",13/04/2023,18/07/2023,Dividendo,"0,61%"
VIVT3,"R$ 0,30056083",29/12/2022,18/07/2023,Dividendo,"0,78%"
POMO4,"R$ 0,07000000",11/07/2023,20/07/2023,JCP,"1,40%"
ALOS3,"R$ 0,25951207",28/04/2023,26/07/2023,Dividendo,"1,43%"
EGIE3,"R$ 0,24511975",22/12/2022,26/07/2023,JCP,"0,64%"
STBP3,"R$ 0,04298249",14/07/2023,31/07/2023,JCP,"0,44%"
STBP3,"R$ 0,00743319",14/07/2023,31/07/2023,Dividendo,"0,08%"
BBDC3,"R$ 0,01724983",03/07/2023,01/08/2023,JCP,"0,12%"
BBDC4,"R$ 0,01897481",03/07/2023,01/08/2023,JCP,"0,11%"
ITUB4,"R$ 0,01765000",30/06/2023,01/08/2023,JCP,"0,06%"
RAIZ4,"R$ 0,02421062",26/07/2023,04/08/2023,Dividendo,"0,58%"
RENT3,"R$ 0,34917363",30/06/2023,14/08/2023,JCP,"0,51%"
BPAC11,"R$ 0,40144271",04/08/2023,15/08/2023,JCP,"1,23%"
KLBN11,"R$ 0,24377999",04/08/2023,15/08/2023,Dividendo,"1,05%"
SANB11,"R$ 0,40334562",20/07/2023,16/08/2023,JCP,"1,36%"
WEGE3,"R$ 0,05829412",23/06/2023,16/08/2023,JCP,"0,16%"
WEGE3,"R$ 0,05323529",17/03/2023,16/08/2023,JCP,"0,13%"
WEGE3,"R$ 0,14520229",21/07/2023,16/08/2023,Dividendo,"0,38%"
PETR3,"R$ 0,27817900",12/06/2023,18/08/2023,Dividendo,"0,82%"
PETR3,"R$ 0,66860900",12/06/2023,18/08/2023,JCP,"1,98%"
PETR4,"R$ 0,66860900",12/06/2023,18/08/2023,JCP,"2,20%"
PETR4,"R$ 0,27817900",12/06/2023,18/08/2023,Dividendo,"0,92%"
CYRE3,"R$ 0,51129460",02/05/2023,21/08/2023,Dividendo,"3,45%"
BEEF3,"R$ 0,19427383",14/08/2023,23/08/2023,Dividendo,"1,89%"
ITSA4,"R$ 0,07730000",23/03/2023,25/08/2023,JCP,"0,97%"
