ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
PETR3,"R$ 0,35477261",16/04/2025,20/05/2025,Dividendo,"1,05%"
PETR3,"R$ 0,01706013",16/04/2025,20/05/2025,Rend. Tributado,"0,05%"
PETR4,"R$ 0,35477261",16/04/2025,20/05/2025,Dividendo,"1,13%"
PETR4,"R$ 0,01706013",16/04/2025,20/05/2025,Rend. Tributado,"0,05%"
SBSP3,"R$ 2,67900000",29/04/2025,20/05/2025,JCP,"2,40%"
SBSP3,"R$ 1,05147238",29/04/2025,20/05/2025,Dividendo,"0,94%"
KLBN11,"R$ 0,22880051",13/05/2025,22/05/2025,Dividendo,"1,17%"
VIVA3,"R$ 0,66016306",22/04/2025,22/05/2025,Dividendo,"3,29%"
EMBR3,"R$ 0,07010891",12/05/2025,23/05/2025,Dividendo,"0,10%"
EGIE3,"R$ 1,14324649",21/08/2024,27/05/2025,Dividendo,"2,43%"
RECV3,"R$ 0,90014000",15/05/2025,27/05/2025,JCP,"5,91%"
EQTL3,"R$ 0,16858616",30/04/2025,28/05/2025,JCP,"0,46%"
EQTL3,"R$ 0,53158286",30/04/2025,28/05/2025,Dividendo,"1,47%"
TAEE11,"R$ 0,55330131",29/04/2025,28/05/2025,Dividendo,"1,53%"
COGN3,"R$ 0,06672035",28/04/2025,30/05/2025,Dividendo,"2,65%"
RADL3,"R$ 0,06071218",29/04/2025,30/05/2025,Dividendo,"0,30%"
VBBR3,"R$ 0,23499090",23/09/2024,30/05/2025,JCP,"1,00%"
BBDC3,"R$ 0,01724983",02/05/2025,02/06/2025,JCP,"0,14%"
BBDC4,"R$ 0,01897481",02/05/2025,02/06/2025,JCP,"0,14%"
ITUB4,"R$ 0,01765000",30/04/2025,02/06/2025,JCP,"0,05%"
ALOS3,"R$ 0,10181436",22/05/2025,03/06/2025,JCP,"0,47%"
BBAS3,"R$ 0,33425840",02/06/2025,12/06/2025,JCP,"1,43%"
BBAS3,"R$ 0,09044687",02/06/2025,12/06/2025,JCP,"0,39%"
MULT3,"R$ 0,23367481",26/06/2024,20/06/2025,JCP,"1,02%"
PETR3,"R$ 0,02152467",16/04/2025,20/06/2025,Rend. Tributado,"0,07%"
PETR3,"R$ 0,35477261",16/04/2025,20/06/2025,Dividendo,"1,05%"
PETR4,"R$ 0,02152467",16/04/2025,20/06/2025,Rend. Tributado,"0,07%"
PETR4,"R$ 0,35477261",16/04/2025,20/06/2025,Dividendo,"1,13%"
ASAI3,"R$ 0,01454566",25/04/2025,23/06/2025,Dividendo,"0,16%"
CPFE3,"R$ 0,78107749",29/04/2025,25/06/2025,Dividendo,"2,15%"
RAIL3,"R$ 0,81043771",16/06/2025,25/06/2025,Dividendo,"4,15%"
CMIG4,"R$ 0,08778000",26/03/2024,30/06/2025,JCP,"0,71%"
CMIG4,"R$ 0,08260111",23/09/2024,30/06/2025,JCP,"0,71%"
CMIG4,"R$ 0,07510604",21/06/2024,30/06/2025,JCP,"0,71%"
CMIG4,"R$ 0,09790376",23/12/2024,30/06/2025,JCP,"0,87%"
CMIG4,"R$ 0,32940590",30/04/2025,30/06/2025,Dividendo,"3,20%"
BBDC3,"R$ 0,01724983",02/06/2025,01/07/2025,JCP,"0,12%"
BBDC4,"R$ 0,01897481",02/06/2025,01/07/2025,JCP,"0,12%"
ITSA4,"R$ 0,02352950",30/05/2025,01/07/2025,JCP,"0,21%"
ITUB4,"R$ 0,01765000",30/05/2025,01/07/2025,JCP,"0,05%"
RDOR3,"R$ 0,20392040",16/06/2025,01/07/2025,JCP,"0,57%"
ALOS3,"R$ 0,10198555",17/06/2025,02/07/2025,Dividendo,"0,47%"
DIRR3,"R$ 0,66666667",27/06/2025,04/07/2025,Dividendo,"1,57%"
ABEV3,"R$ 0,12800000",15/05/2025,07/07/2025,Dividendo,"0,90%"
B3SA3,"R$ 0,07282011",23/06/2025,07/07/2025,JCP,"0,53%"
TOTS3,"R$ 0,15000000",23/06/2025,07/07/2025,JCP,"0,36%"
CMIN3,"R$ 0,03895596",06/01/2025,15/07/2025,JCP,"0,79%"
CMIN3,"R$ 0,03865948",13/05/2025,15/07/2025,JCP,"0,65%"
CMIN3,"R$ 0,20066109",13/05/2025,15/07/2025,Dividendo,"3,40%"
LREN3,"R$ 0,20302700",02/07/2025,15/07/2025,JCP,"1,07%"
VIVT3,"R$ 0,61668512",27/02/2025,15/07/2025,Amortização,"1,23%"
TIMS3,"R$ 0,12408486",21/05/2025,23/07/2025,JCP,"0,63%"
TIMS3,"R$ 0,28225423",03/04/2025,23/07/2025,Dividendo,"1,54%"
CPFE3,"R$ 0,43393194",29/04/2025,25/07/2025,Dividendo,"1,20%"
IGTI11,"R$ 0,16888732",17/04/2025,30/07/2025,Dividendo,"0,85%"
BBDC3,"R$ 0,26725055",30/12/2024,31/07/2025,JCP,"2,57%"
BBDC4,"R$ 0,29397561",30/12/2024,31/07/2025,JCP,"2,60%"
SMFT3,"R$ 0,06697362",13/06/2025,31/07/2025,JCP,"0,28%"
BBDC3,"R$ 0,01724983",01/07/2025,01/08/2025,JCP,"0,12%"
BBDC4,"R$ 0,01897481",01/07/2025,01/08/2025,JCP,"0,11%"
ITUB4,"R$ 0,01765000",30/06/2025,01/08/2025,JCP,"0,05%"
ALOS3,"R$ 0,10216432",22/07/2025,04/08/2025,Dividendo,"0,48%"
SANB11,"R$ 0,53588004",17/07/2025,08/08/2025,JCP,"1,90%"
WEGE3,"R$ 0,17145038",25/07/2025,13/08/2025,Dividendo,"0,47%"
WEGE3,"R$ 0,09405882",20/06/2025,13/08/2025,JCP,"0,23%"
WEGE3,"R$ 0,08070588",21/03/2025,13/08/2025,JCP,"0,17%"
BPAC11,"R$ 0,60400687",08/08/2025,15/08/2025,JCP,"1,48%"
CXSE3,"R$ 0,31000000",01/08/2025,15/08/2025,Dividendo,"2,25%"
MOTV3,"R$ 0,17934703",05/08/2025,15/08/2025,Dividendo,"1,39%"
