ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
CURY3,0.39,2021-04-23,2021-07-30,Dividendo,3.94
HAPV3,0.26,2021-07-06,2021-07-30,JCP,1.78
BBDC3,0.01,2021-07-01,2021-08-02,JCP,0.08
BBDC4,0.01,2021-07-01,2021-08-02,JCP,0.07
ITUB4,0.01,2021-06-30,2021-08-02,Dividendo,0.05
CMIN3,0.05,2021-04-30,2021-08-10,Dividendo,0.49
CMIN3,0.33,2021-07-30,2021-08-10,Dividendo,3.52
CSNA3,1.26,2021-07-30,2021-08-10,Dividendo,2.7
CPLE6,0.05,2021-03-31,2021-08-11,JCP,0.72
CPLE6,0.04,2021-03-31,2021-08-11,Dividendo,0.73
CPLE6,0.07,2021-04-29,2021-08-11,Dividendo,1.26
CPLE6,0.31,2020-12-28,2021-08-11,JCP,0.42
WEGE3,0.01,2021-03-26,2021-08-11,JCP,0.02
WEGE3,0.02,2021-06-25,2021-08-11,JCP,0.06
WEGE3,0.15,2021-07-30,2021-08-11,Dividendo,0.44
BPAC11,0.16,2021-08-05,2021-08-12,JCP,0.56
FLRY3,0.13,2021-08-03,2021-08-16,JCP,0.56
RENT3,0.09,2021-06-29,2021-08-20,JCP,0.15
BBSE3,0.52,2021-08-11,2021-08-23,Dividendo,2.4
PETR3,1.6,2021-08-16,2021-08-25,Dividendo,5.43
PETR4,1.6,2021-08-16,2021-08-25,Dividendo,5.54
GGBR4,0.54,2021-08-16,2021-08-26,Dividendo,1.76
ITSA4,0.03,2021-08-13,2021-08-26,JCP,0.33
ITSA4,0.01,2021-03-09,2021-08-26,JCP,0.16
ITSA4,0.01,2021-03-25,2021-08-26,JCP,0.19
ITSA4,0.02,2021-04-27,2021-08-26,JCP,0.21
ITSA4,0.01,2021-05-24,2021-08-26,JCP,0.17
ITUB4,0.05,2021-04-27,2021-08-26,JCP,0.21
ITUB4,0.04,2021-05-24,2021-08-26,JCP,0.17
ITUB4,0.1,2021-08-13,2021-08-26,JCP,0.34
ITUB4,0.05,2021-03-25,2021-08-26,JCP,0.19
GOAU4,0.28,2021-08-16,2021-08-27,Dividendo,1.97
UGPA3,0.2,2021-08-19,2021-08-27,Dividendo,1.32
BBAS3,0.17,2021-08-23,2021-08-31,JCP,0.58
BBAS3,0.0,2021-08-23,2021-08-31,Rend. Tributado,0.0
ELET3,0.01,2021-04-27,2021-08-31,Rend. Tributado,0.05
ELET3,0.94,2021-04-27,2021-08-31,Dividendo,2.61
ELET6,1.03,2021-04-27,2021-08-31,Dividendo,2.83
ELET6,0.02,2021-04-27,2021-08-31,Rend. Tributado,0.06
VBBR3,0.6,2021-04-15,2021-08-31,Dividendo,2.6
VBBR3,0.01,2021-04-15,2021-08-31,Rend. Tributado,0.05
BBDC3,0.01,2021-08-02,2021-09-01,JCP,0.08
BBDC4,0.01,2021-08-02,2021-09-01,JCP,0.08
ITUB4,0.01,2021-07-30,2021-09-01,Dividendo,0.05
SANB11,0.91,2021-08-04,2021-09-03,JCP,2.25
IRBR3,0.88,2020-08-14,2021-09-08,JCP,11.55
IRBR3,0.04,2020-08-14,2021-09-08,Rend. Tributado,0.58
RDOR3,0.08,2021-09-09,2021-09-17,JCP,0.12
RDOR3,0.99,2021-09-09,2021-09-17,Dividendo,1.44
ELET3,0.0,2021-04-27,2021-09-28,Rend. Tributado,0.0
ELET6,0.0,2021-04-27,2021-09-28,Rend. Tributado,0.0
MRFG3,1.4,2021-09-10,2021-09-28,Dividendo,6.18
ENGI11,0.65,2021-08-17,2021-09-29,Dividendo,1.5
VBBR3,0.33,2021-09-13,2021-09-29,JCP,1.3
BBAS3,0.09,2021-09-13,2021-09-30,JCP,0.31
VALE3,8.19,2021-09-22,2021-09-30,Dividendo,9.21
BBDC3,0.01,2021-09-01,2021-10-01,JCP,0.09
BBDC4,0.01,2021-09-01,2021-10-01,JCP,0.08
ITSA4,0.02,2021-08-31,2021-10-01,Dividendo,0.18
ITUB4,0.01,2021-08-31,2021-10-01,Dividendo,0.05
MULT3,0.45,2020-12-28,2021-10-05,JCP,1.9
USIM5,0.71,2021-08-31,2021-10-05,Dividendo,3.87
USIM5,0.38,2021-08-31,2021-10-05,JCP,2.09
VIVT3,0.35,2020-12-28,2021-10-05,Dividendo,0.79
VIVT3,0.47,2021-04-15,2021-10-05,Dividendo,1.05
B3SA3,0.15,2021-09-28,2021-10-07,Dividendo,1.11
B3SA3,0.04,2021-09-28,2021-10-07,JCP,0.33
ASAI3,0.04,2021-10-05,2021-10-14,JCP,0.25
CPFE3,0.43,2021-08-31,2021-10-22,Dividendo,1.58
HAPV3,0.17,2021-09-27,2021-10-22,JCP,1.22
TOTS3,0.09,2021-08-04,2021-10-22,JCP,0.25
TIMS3,0.05,2021-09-29,2021-10-27,JCP,0.48
PSSA3,0.92,2021-03-31,2021-10-29,Dividendo,2.04
BBDC3,0.01,2021-10-01,2021-11-01,JCP,0.1
BBDC4,0.01,2021-10-01,2021-11-01,JCP,0.09
ITUB4,0.01,2021-09-30,2021-11-01,Dividendo,0.05
KLBN11,0.09,2021-10-29,2021-11-11,JCP,0.39
KLBN11,0.27,2021-10-29,2021-11-11,Dividendo,1.16
CPFE3,0.43,2021-08-31,2021-11-16,Dividendo,1.58
CXSE3,0.24,2021-11-04,2021-11-16,Dividendo,2.66
GGBR4,1.42,2021-11-05,2021-11-16,Dividendo,5.64
GGBR4,0.2,2021-11-05,2021-11-16,JCP,0.79
GGBR4,0.38,2021-09-27,2021-11-16,JCP,1.44
GOAU4,1.44,2021-11-05,2021-11-17,Dividendo,12.37
GOAU4,0.12,2021-09-27,2021-11-17,JCP,0.98
GOAU4,0.08,2021-09-27,2021-11-17,Dividendo,0.66
GOAU4,0.11,2021-11-05,2021-11-17,JCP,0.95
ISAE4,0.52,2021-11-03,2021-11-17,Dividendo,2.13
ISAE4,0.78,2021-11-03,2021-11-17,JCP,3.14
RENT3,0.1,2021-09-29,2021-11-22,JCP,0.2
BEEF3,0.34,2021-11-10,2021-11-25,Dividendo,3.34
EGIE3,0.96,2021-08-16,2021-11-29,Dividendo,2.55
BBAS3,0.19,2021-11-22,2021-11-30,JCP,0.67
CPLE6,0.09,2021-09-30,2021-11-30,JCP,1.22
CPLE6,0.45,2021-09-30,2021-11-30,Dividendo,6.08
BBDC3,0.01,2021-11-01,2021-12-01,JCP,0.1
BBDC4,0.01,2021-11-01,2021-12-01,JCP,0.09
ITUB4,0.01,2021-10-29,2021-12-01,JCP,0.07
RADL3,0.02,2021-03-11,2021-12-01,JCP,0.11
RADL3,0.07,2021-11-12,2021-12-01,Dividendo,0.32
SANB11,0.8,2021-11-04,2021-12-03,Dividendo,2.21
YDUQ3,0.46,2021-04-28,2021-12-07,Dividendo,1.57
RADL3,0.03,2021-06-23,2021-12-08,JCP,0.12
MOTV3,0.07,2021-11-30,2021-12-15,Dividendo,0.66
PETR3,2.19,2021-12-01,2021-12-15,Dividendo,7.09
PETR3,1.05,2021-12-01,2021-12-15,JCP,3.41
PETR4,2.19,2021-12-01,2021-12-15,Dividendo,7.2
PETR4,1.05,2021-12-01,2021-12-15,JCP,3.46
RADL3,0.02,2021-12-08,2021-12-15,Dividendo,0.11
CPFE3,0.63,2021-08-31,2021-12-16,Dividendo,2.3
CURY3,0.17,2021-12-07,2021-12-16,Dividendo,2.4
MRVE3,0.16,2021-12-06,2021-12-16,Dividendo,1.35
BRKM5,7.53,2021-12-08,2021-12-20,Dividendo,11.29
CPFE3,0.69,2021-12-09,2021-12-21,Dividendo,2.57
VBBR3,0.12,2021-12-14,2021-12-23,JCP,0.55
VBBR3,0.0,2021-12-14,2021-12-23,Dividendo,0.02
CSAN3,0.37,2021-12-14,2021-12-28,Dividendo,1.64
BRAP4,6.04,2021-12-16,2021-12-29,Dividendo,10.89
CMIG4,0.3,2021-04-30,2021-12-29,Dividendo,2.21
EQTL3,0.72,2021-04-30,2021-12-29,Dividendo,2.95
MRFG3,1.25,2021-12-21,2021-12-29,Dividendo,5.23
RDOR3,0.09,2021-12-17,2021-12-29,JCP,0.21
TAEE11,0.58,2021-12-06,2021-12-29,JCP,1.53
TAEE11,0.93,2021-12-06,2021-12-29,Dividendo,2.43
ABEV3,0.13,2021-12-17,2021-12-30,Dividendo,13.34
ABEV3,0.47,2021-12-17,2021-12-30,JCP,47.02
B3SA3,0.14,2021-12-20,2021-12-30,Dividendo,1.25
BBAS3,0.08,2021-12-13,2021-12-30,JCP,0.27
BBDC3,0.19,2021-12-20,2021-12-30,Dividendo,1.19
BBDC3,0.01,2021-12-20,2021-12-30,JCP,0.12
BBDC4,0.21,2021-12-20,2021-12-30,Dividendo,1.11
BBDC4,0.02,2021-12-20,2021-12-30,JCP,0.11
CMIG4,0.14,2020-12-30,2021-12-30,JCP,0.98
FLRY3,0.09,2021-12-20,2021-12-30,JCP,0.53
STBP3,0.14,2021-12-21,2021-12-30,Dividendo,2.28
USIM5,0.19,2021-12-15,2021-12-30,JCP,1.26
VAMO3,0.04,2021-12-07,2021-12-30,JCP,0.39
VAMO3,0.14,2021-12-07,2021-12-30,Dividendo,1.22
BBDC3,0.01,2021-12-01,2022-01-03,JCP,0.1
BBDC4,0.01,2021-12-01,2022-01-03,JCP,0.09
ITSA4,0.02,2021-11-30,2022-01-03,JCP,0.24
ITUB4,0.01,2021-11-30,2022-01-03,JCP,0.08
BPAC11,0.06,2021-12-20,2022-01-06,JCP,0.31
B3SA3,0.04,2021-12-30,2022-01-07,JCP,0.45
HYPE3,0.3,2021-07-22,2022-01-07,JCP,0.89
HYPE3,0.3,2021-09-27,2022-01-07,JCP,0.97
HYPE3,0.3,2021-03-26,2022-01-07,JCP,0.94
HYPE3,0.3,2021-12-28,2022-01-07,JCP,1.06
AZZA3,0.33,2021-12-03,2022-01-14,JCP,0.45
AZZA3,0.26,2021-12-03,2022-01-14,Dividendo,0.35
ISAE4,0.17,2021-12-22,2022-01-18,JCP,0.71
CMIN3,0.08,2021-12-29,2022-01-20,JCP,1.32
HAPV3,0.08,2021-12-27,2022-01-21,JCP,0.75
TIMS3,0.23,2021-12-20,2022-01-25,JCP,1.79
SUZB3,0.74,2022-01-18,2022-01-27,Dividendo,1.25
BBDC3,0.01,2022-01-03,2022-02-01,JCP,0.1
BBDC4,0.01,2022-01-03,2022-02-01,JCP,0.1
ITUB4,0.01,2021-12-30,2022-02-01,JCP,0.08
SANB11,0.06,2022-01-07,2022-02-03,JCP,0.22
RENT3,0.12,2021-12-17,2022-02-11,JCP,0.22
BPAC11,0.14,2022-01-05,2022-02-15,JCP,0.77
BBSE3,0.91,2022-02-10,2022-02-23,Dividendo,3.76
BBSE3,0.01,2022-02-10,2022-02-23,Rend. Tributado,0.05
KLBN11,0.34,2022-02-14,2022-02-25,Dividendo,1.44
BBDC3,0.01,2022-02-01,2022-03-02,JCP,0.09
BBDC4,0.01,2022-02-01,2022-03-02,JCP,0.08
ENGI11,2.2,2021-12-30,2022-03-02,Dividendo,4.99
ITUB4,0.01,2022-01-31,2022-03-02,JCP,0.07
SANB11,0.34,2022-02-10,2022-03-04,Dividendo,1.09
SANB11,0.45,2022-02-10,2022-03-04,JCP,1.42
BBAS3,0.17,2022-03-02,2022-03-11,Dividendo,0.5
BBAS3,0.0,2022-03-02,2022-03-11,Rend. Tributado,0.01
BBAS3,0.22,2022-03-02,2022-03-11,JCP,0.64
BBAS3,0.0,2022-03-02,2022-03-11,Rend. Tributado,0.01
ITSA4,0.15,2021-11-23,2022-03-11,JCP,1.57
ITSA4,0.13,2022-01-14,2022-03-11,JCP,1.38
ITUB4,0.26,2021-11-19,2022-03-11,JCP,1.18
ITUB4,0.01,2022-02-21,2022-03-11,JCP,0.05
UGPA3,0.17,2022-03-03,2022-03-11,Dividendo,1.18
GGBR4,0.2,2022-03-07,2022-03-16,Dividendo,0.68
VALE3,3.71,2022-03-08,2022-03-16,Dividendo,3.58
WEGE3,0.02,2021-09-24,2022-03-16,JCP,0.05
WEGE3,0.03,2021-12-17,2022-03-16,JCP,0.09
WEGE3,0.2,2022-02-18,2022-03-16,Dividendo,0.69
EGIE3,0.07,2021-12-29,2022-03-17,JCP,0.19
EGIE3,0.78,2022-02-24,2022-03-17,Dividendo,1.93
GOAU4,0.1,2022-03-07,2022-03-17,Dividendo,0.84
RAIZ4,0.01,2021-10-05,2022-03-25,JCP,0.23
RAIZ4,0.02,2022-01-05,2022-03-25,JCP,0.36
BBAS3,0.1,2022-03-14,2022-03-31,JCP,0.31
STBP3,0.03,2022-03-14,2022-03-31,Dividendo,0.6
BBDC3,0.01,2022-03-02,2022-04-01,JCP,0.1
BBDC4,0.01,2022-03-02,2022-04-01,JCP,0.1
ITSA4,0.02,2021-12-13,2022-04-01,JCP,0.24
ITUB4,0.01,2022-02-25,2022-04-01,JCP,0.07
FLRY3,0.7,2022-03-22,2022-04-04,Dividendo,4.22
POMO4,0.07,2021-07-05,2022-04-04,JCP,1.94
POMO4,0.03,2021-12-28,2022-04-04,JCP,1.27
B3SA3,0.13,2022-03-24,2022-04-08,Dividendo,0.88
B3SA3,0.05,2022-03-24,2022-04-08,JCP,0.34
PSSA3,0.69,2021-07-29,2022-04-11,JCP,1.34
PSSA3,0.27,2021-10-29,2022-04-11,JCP,1.17
RDOR3,0.09,2022-03-31,2022-04-12,JCP,0.2
MRFG3,0.58,2022-04-13,2022-04-22,Dividendo,2.82
RAIZ4,0.02,2022-04-05,2022-04-27,JCP,0.39
TIMS3,0.08,2022-03-28,2022-04-27,JCP,0.57
CXSE3,0.29,2022-04-20,2022-04-29,Dividendo,3.52
MOTV3,0.08,2022-04-19,2022-04-29,Dividendo,0.65
BBDC3,0.01,2022-04-01,2022-05-02,JCP,0.09
BBDC4,0.01,2022-04-01,2022-05-02,JCP,0.09
BRKM5,1.69,2022-04-19,2022-05-02,Dividendo,4.03
ITUB4,0.01,2022-03-31,2022-05-02,JCP,0.06
LREN3,0.09,2021-06-25,2022-05-04,JCP,0.22
LREN3,0.12,2021-09-21,2022-05-04,JCP,0.36
LREN3,0.12,2021-12-21,2022-05-04,JCP,0.52
LREN3,0.07,2021-03-18,2022-05-04,JCP,0.18
MGLU3,0.15,2021-07-05,2022-05-06,JCP,0.73
BEEF3,0.34,2022-04-27,2022-05-09,Dividendo,2.58
BRAP4,1.57,2022-04-29,2022-05-10,Dividendo,5.16
IGTI11,0.11,2022-04-29,2022-05-10,Dividendo,0.54
RECV3,0.16,2022-04-27,2022-05-10,Dividendo,0.68
STBP3,0.11,2021-12-21,2022-05-10,JCP,1.75
